Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Digitalis_lutea,Subspecies,2 subspecies,Digitalis_lutea_subsp._australis,Digitalis_lutea_subsp._lutea,,,,,,,
Diphasiastrum_alpinum,Unresolved,Lycopodium alpinum,None,,,,,,,,
Diphasiastrum_complanatum,Unresolved,Lycopodium complanatum,None,,,,,,,,
Dryopteris_affinis,Unresolved,1 subspecies,None,,,,,,,,
Dryopteris_carthusiana,Unresolved,None,None,,,,,,,,
Dryopteris_dilatata,Unresolved,None,None,,,,,,,,
Dryopteris_expansa,Unresolved,None,None,,,,,,,,
Dryopteris_filix-mas,Unresolved,None,None,,,,,,,,
Dryopteris_remota,Unresolved,Dryopteris × remota,None,,,,,,,,
Chamaenerion_angustifolium,Unresolved,1 subspecies,None,,,,,,,,
Erigeron_alpinus,Unresolved,None,None,,,,,,,,
Erigeron_caucasicus,Subspecies,1 subspecies,Erigeron_caucasicus_subsp._venustus,,,,,,,,
Erigeron_flagellaris,Unresolved,None,None,,,,,,,,
Eutrochium_maculatum,Unresolved,Eupatoriadelphus maculatu,None,,,,,,,,
Lolium_arundinaceum,Synonym,4 subspecies,Festuca_arundinacea_subsp._uechtritziana,,,,,,,,
Lolium_giganteum,Synonym,Festuca gigantea,Festuca_gigantea,,,,,,,,
Festuca_ovina,Varietas,2 varietas 1 subspecies,Festuca_ovina_var._ovina,Festuca_ovina_var._brevifolia,,,,,,,
Festuca_pallens,Subspecies,1 subspecies,Festuca_pallens_subsp._pallens,,,,,,,,
Festuca_paniculata,Subspecies,1 varieta 4 subspecies,Festuca_paniculata_var._moleroi,Festuca_paniculata_subsp._paui,Festuca_paniculata_subsp._paniculata,Festuca_paniculata_subsp._spadicea,Festuca_nigrescens_subsp._nigrescens,,,,
Festuca_rubra,Subspecies,8 subspecies,Festuca_rubra_subsp._pruinosa,Festuca_rubra_subsp._commutata,Festuca_rubra_subsp._fallax,Festuca_rubra_subsp._littoralis,Festuca_rubra_subsp._rubra,Festuca_rubra_subsp._arctica,Festuca_rubra_subsp._juncea,,
Festuca_varia,Unresolved,None,None,,,,,,,,
Flourensia_campestris,Unresolved,None,,,,,,,,,
Fragaria_americana,Unresolved,None,None,,,,,,,,
Galearia_fulva,Unresolved,None,None,,,,,,,,
Gentiana_biebersteinii,Unresolved,None,None,,,,,,,,
Gentiana_brachyphylla,Subspecies,1 subspecies,Gentiana_brachyphylla_subsp._favratii,,,,,,,,
Gentiana_lutea,Subspecies,1 subspecies,Gentiana_lutea_subsp._lutea,,,,,,,,
Gironniera_parvifolia,Unresolved,None,None,,,,,,,,
Gnaphalium_obtusifolium,Unresolved,None,None,,,,,,,,
Gymnocarpium_dryopteris,Unresolved,2 varietas,None,,,,,,,,
Hebe_franciscana,Unresolved,None,None,,,,,,,,
Helianthella_quinquenervis,Unresolved,None,None,,,,,,,,
Helictochloa_versicolor,Unresolved,1 subspecies,Helictochloa_versicolor_subsp._versicolor,,,,,,,,
Hieracium_acuminatum,Unresolved,None,None,,,,,,,,
Pilosella_x_floribunda,Unresolved,Hieracium floribundum,None,,,,,,,,
Hieracium_glaucinum,Typo,None,Hieracium_glaucinum_aggr,,,,,,,,
Hieracium_piloselloides,Subspecies,2 subspecies,Hieracium_piloselloides_subsp._praealtum,Hieracium_piloselloides_subsp._obscurum,,,,,,,
Hieracium_pratense,Unresolved,None,None,,,,,,,,
Hieracium_tenuiflorum,Unresolved,None,None,,,,,,,,
Hieracium_lachenalii_subsp._cruentifolium,Subspecies,1 subspecies,Hieracium_lachenalii,,,,,,,,
Hierochloe_odorata,Unresolved,Holcus odoratus ,None,,,,,,,,
Hordeum_vulgare_var._distichon,Subspecies,3 varietas 2 subspecies ,Hordeum_vulgare_subsp._vulgare,,,,,,,,
Hymenopappus_mexicanus,Unresolved,None,None,,,,,,,,
Eplingiella_fruticosa,Synonym,Hyptis fruticosa,Hyptis_fruticosa,,,,,,,,
Pentanema_britannicum,Synonym,Inula britannica ,Inula_britannica,,,,,,,,
Ipomopsis_multiflora,Subspecies,1 subspecies,Ipomopsis_multiflora_subsp._multiflora,,,,,,,,
Iva_xanthiifolia,Unresolved,Cyclachaena xanthiifolia,None,,,,,,,,
Kemulariella_caucasica,Unresolved,None,None,,,,,,,,
Koeleria_glauca,Unresolved,None,None,,,,,,,,
Lactuca_alpina,Unresolved,None,None,,,,,,,,
Laphangium_luteoalbum,Unresolved,None,None,,,,,,,,
Lessingianthus_psilophyllus,Unresolved,None,None,,,,,,,,
Leucanthemopsis_alpina,Subspecies,2 subspecies,Leucanthemopsis_alpina_subsp._tomentosa,,,,,,,,
Leucanthemum_ircutianum,Subspecies,6 subspecies,Leucanthemum_ircutianum_subsp._leucolepis,Leucanthemum_ircutianum_subsp._ircutianum,Leucanthemum_ircutianum_subsp._crassifolium,Leucanthemum_ircutianum_subsp._cantabricum,Leucanthemum_ircutianum_subsp._pseudosylvaticum,Leucanthemum_ircutianum_subsp._asperulum,,,
Litsea_magnifica,Unresolved,None,None,,,,,,,,
Lycopodiella_inundata,Unresolved,Lycopodium inundatum,None,,,,,,,,
