Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Nymphaea_x_marliacea,Unresolved,Nymphaea marliacea,None,,,,,,,,
Pedicularis_condensata,Unresolved,None,None,,,,,,,,
Pedicularis_palustris,Subspecies,2 subspecies,Pedicularis_palustris_subsp._opsiantha,,,,,,,,
Pilularia_globulifera,Unresolved,None,None,,,,,,,,
Polygonum_douglasii,Subspecies,1 subspecies,Polygonum_douglasii_subsp._douglasii,,,,,,,,
Persicaria_minorÂ ,Typo,Polygonum minus,Persicaria_minor,,,,,,,,
Polypodium_interjectum,Unresolved,None,None,,,,,,,,
Polypodium_vulgare,Unresolved,None,None,,,,,,,,
Singaporandia_macrophylla,Synonym,Rothmannia macrophylla,Rothmannia_macrophylla,,,,,,,,
Salvinia_natans,Unresolved,None,None,,,,,,,,
Scirpus_fluitans,Unresolved,None,None,,,,,,,,
Scirpus_hudsonianus,Unresolved,None,None,,,,,,,,
Scirpus_lacustris,Unresolved,None,None,,,,,,,,
Scirpus_rubrotinctus,Unresolved,None,None,,,,,,,,
Scrophularia_umbrosa,Subspecies,1 subspecies,Scrophularia_umbrosa_subsp._umbrosa,,,,,,,,
Scrophularia_vernalis,Subspecies,2 subspecies,Scrophularia_vernalis_subsp._vernalis,Scrophularia_vernalis_subsp._clausii,,,,,,,
Veronica_catenata,Subspecies,1 varieta 1 subspecies,Veronica_catenata_subsp._pseudocatenata,,,,,,,,
Carex_myosuroides,Synonym,Kobresia myosuroides,Kobresia_myosuroides,,,,,,,,
Anacamptis_morio,Subspecies,3 subspecies,Anacamptis_morio_subsp._longicornu,Anacamptis_morio_subsp._champagneuxii,,,,,,,
Gymnadenia_conopsea,Subspecies,1 varieta 1 subspecies,Gymnadenia_conopsea_subsp._conopsea,,,,,,,,
Neotinea_tridentata,Unresolved,1 subspecies,None,,,,,,,,
Neotinea_ustulata,Unresolved,2 varietas ,None,,,,,,,,
Ophrys_x_benacensis,Unresolved,Ophrys benacensis,None,,,,,,,,
Pseudorchis_albida,Subspecies,1 subspecies,Pseudorchis_albida_subsp._straminea,,,,,,,,
