Species_name,Symbiotic_type,C-selection,S-selection,R-selection,CSR_categorical_level
Anethum graveolens,AM,45.79019422,0.767950498,53.44185528,CR
Angelica archangelica,AM,81.36203012,8.840409449,9.797560432,C
Angelica sylvestris,AM,78.76930848,11.71595059,9.514740924,C/CS
Annona acuminata,AM,29.70589814,48.68338688,21.61071498,S/CSR
Annona salzmannii,AM,45.22165821,49.77600753,5.002334254,CS
Annona spraguei,AM,58.95413139,25.49911775,15.54675087,C/CSR
Antennaria carpatica,AM,10.02032975,76.08152194,13.89814832,S/SR
Antennaria dioica,AM,1.776454505,79.13724055,19.08630494,S/SR
Antennaria parvifolia,AM,5.220188231,75.23299353,19.54681824,S/SR
Antennaria plantaginifolia,AM,20.45170538,27.75949252,51.7888021,R/CSR
Antennaria rosulata,AM,0.606910596,63.88789949,35.50518991,S/SR
Anthemis arvensis,AM,13.8226227,0,86.1773773,R
Anthemis cotula,AM,57.03021062,6.620679489,36.34910989,CR
Anthemis cretica,AM,28.87297433,9.35809588,61.76892979,R/CR
Archanthemis marschalliana,AM,22.33913988,54.03327689,23.62758324,S/CSR
Anthemis ruthenica,AM,20.65471115,0,79.34528885,R/CR
Cota tinctoria,AM,15.5962918,43.45175195,40.95195625,SR/CSR
Anthericum liliago,AM,65.91253719,0,34.08746281,C/CR
Anthericum ramosum,AM,45.9749445,22.16892524,31.85613026,CR/CSR
Anthoxanthum alpinum,AM,8.666088115,60.00214856,31.33176333,S/SR
Anthoxanthum aristatum,AM,14.73594647,31.72496445,53.53908908,R/CSR
Anthoxanthum odoratum,AM,8.364072771,67.44843056,24.18749667,S/SR
Anthriscus caucalis,AM,43.0921559,12.00283419,44.90500991,CR/CSR
Anthriscus cerefolium,AM,20.51894124,1.416425267,78.06463349,R/CR
Anthriscus nitida,AM,58.86442773,16.77284491,24.36272736,C/CSR
Anthriscus sylvestris,AM,62.03412576,0,37.96587424,CR
Apeiba membranacea,AM,47.679058,37.06147311,15.25946889,CS/CSR
Apeiba tibourbou,AM,64.63115382,21.19268555,14.17616063,C/CS
Apera interrupta,AM,0.399094899,47.3630296,52.2378755,SR
Alchemilla arvensis,AM,2.139563844,35.74291155,62.11752461,R/SR
Aphanes inexspectata,AM,9.375488257,32.66908164,57.9554301,R/CSR
Helosciadium inundatum,AM,2.563307649,0,97.43669235,R
Helosciadium nodiflorum ,AM,40.04848912,0,59.95151088,CR
Apocynum androsaemifolium,AM,45.58028235,40.76537378,13.65434387,CS/CSR
Aporosa aurea,AM,46.57653121,49.80461159,3.618857202,CS
Aporosa bracteosa,AM,34.19482465,59.92869193,5.876483418,S/CS
