Species_name,Symbiotic_type,C-selection,S-selection,R-selection
Ambrosia psilostachya,AM,15.89549574,61.33994452,22.76455974
Ambrosia trifida,AM,60.1355398,9.382525893,30.48193431
Amelanchier lamarckii,AM,26.40655207,67.0303355,6.563112427
Amelanchier ovalis,AM,16.23820758,64.73239344,19.02939898
Ammi majus,AM,6.462176061,0,93.53782394
Ammophila littoralis,AM,31.11948182,68.88051818,0
Amphilophium paniculatum,AM,53.21627996,28.52272597,18.26099407
Anacardium excelsum,AM,55.46839512,34.60870528,9.922899593
Anacardium occidentale,AM,50.4231648,49.5768352,0
Anagallis arvensis,AM,6.475869345,0,93.52413066
Anagallis foemina,AM,10.20318834,0,89.79681166
Anagallis minima,AM,0,0,100
Anaphalis margaritacea,AM,31.37456925,51.61866931,17.00676144
Anaxagorea dolichocarpa,AM,61.47303902,28.78847764,9.738483343
Anaxagorea javanica,AM,43.42590031,48.58877949,7.985320205
Anaxagorea panamensis,AM,37.71586125,45.92211016,16.36202859
Anchusa azurea,AM,65.0365139,0,34.9634861
Anchusa officinalis,AM,46.16631563,0,53.83368437
Andropogon distachyos,AM,24.58776141,61.93892036,13.47331824
Andropogon gerardi,AM,24.32608535,52.01780036,23.65611429
Andropogon virginicus,AM,15.83655277,77.50666132,6.656785915
Androsace albana,AM,7.923957987,41.75727479,50.31876722
Androsace lactea,AM,11.89667584,0,88.10332416
Androsace maxima,AM,10.57665019,0,89.42334981
Androsace septentrionalis,AM,2.493881841,0,97.50611816
Androsace vandellii,AM,0,95.01292689,4.987073112
Anemone canadensis,AM,39.20557519,38.11085921,22.68356561
Anemone nemorosa,AM,38.17650773,10.69977089,51.12372138
Anemone quinquefolia,AM,38.26405606,0,61.73594394
Anemone ranunculoides,AM,33.00772265,9.673089994,57.31918736
Anemone speciosa,AM,42.83568156,28.83040476,28.33391368
Anemone sylvestris,AM,38.56161428,33.42509581,28.0132899
Anethum graveolens,AM,45.79019422,0.767950498,53.44185528
Angelica archangelica,AM,81.36203012,8.840409449,9.797560432
Angelica sylvestris,AM,78.76930848,11.71595059,9.514740924
Annona acuminata,AM,29.70589814,48.68338688,21.61071498
Annona salzmannii,AM,45.22165821,49.77600753,5.002334254
Annona spraguei,AM,58.95413139,25.49911775,15.54675087
Antennaria carpatica,AM,10.02032975,76.08152194,13.89814832
Antennaria dioica,AM,1.776454505,79.13724055,19.08630494
Antennaria parvifolia,AM,5.220188231,75.23299353,19.54681824
Antennaria plantaginifolia,AM,20.45170538,27.75949252,51.7888021
Antennaria rosulata,AM,0.606910596,63.88789949,35.50518991
Anthemis arvensis,AM,13.8226227,0,86.1773773
Anthemis cotula,AM,57.03021062,6.620679489,36.34910989
Anthemis cretica,AM,28.87297433,9.35809588,61.76892979
Archanthemis marschalliana,AM,22.33913988,54.03327689,23.62758324
Anthemis ruthenica,AM,20.65471115,0,79.34528885
Cota tinctoria,AM,15.5962918,43.45175195,40.95195625
Anthericum liliago,AM,65.91253719,0,34.08746281
Anthericum ramosum,AM,45.9749445,22.16892524,31.85613026
Anthoxanthum alpinum,AM,8.666088115,60.00214856,31.33176333
Anthoxanthum aristatum,AM,14.73594647,31.72496445,53.53908908
Anthoxanthum odoratum,AM,8.364072771,67.44843056,24.18749667
Anthriscus caucalis,AM,43.0921559,12.00283419,44.90500991
Anthriscus cerefolium,AM,20.51894124,1.416425267,78.06463349
Anthriscus nitida,AM,58.86442773,16.77284491,24.36272736
Anthriscus sylvestris,AM,62.03412576,0,37.96587424
Apeiba membranacea,AM,47.679058,37.06147311,15.25946889
Apeiba tibourbou,AM,64.63115382,21.19268555,14.17616063
Apera interrupta,AM,0.399094899,47.3630296,52.2378755
Alchemilla arvensis,AM,2.139563844,35.74291155,62.11752461
Aphanes inexspectata,AM,9.375488257,32.66908164,57.9554301
Helosciadium inundatum,AM,2.563307649,0,97.43669235
Helosciadium nodiflorum ,AM,40.04848912,0,59.95151088
Apocynum androsaemifolium,AM,45.58028235,40.76537378,13.65434387
Aporosa aurea,AM,46.57653121,49.80461159,3.618857202
Aporosa bracteosa,AM,34.19482465,59.92869193,5.876483418
Aporosa falcifera,AM,41.12366159,57.6537577,1.222580715
Aporosa globifera,AM,39.60569461,45.70219978,14.69210561
Aporosa microstachya,AM,38.62317797,50.53651648,10.84030555
